site_brom.id,site.x,trt.name,mu.scalar,k.scalar,intended.mu,intended.k,temporal.block,maxvol,leaf.number,mean.diam,catchment.area,turbidity.initial,oxygen.percent.initial,oxygen.conc.initial,ph.initial,chlorophyll.initial,bacteria.per.ml..initial,amoeba.per.ml.initial,algae.per.ml.initial,ciliates.per.ml.initial,flagellates.per.ml.initial,rotifers.per.ml.initial,leafpack1.species1.mass.initial,leafpack2.species1.mass.initial,leafpack1.species2.mass.initial,leafpack2.species2.mass.initial,co2.final,methane.final,turbidity.final,oxygen.percent.final,oxygen.conc.final,ph.final,chlorophyll.final,bacteria.per.ml.final,amoeba.per.ml.final,algae.per.ml.final,ciliates.per.ml.final,flagellates.per.ml.final,rotifers.per.ml.final,leafpack1.species1.mass.final,leafpack2.species1.mass.final,leafpack1.species2.mass.final,leafpack2.species2.mass.final,water.volume.final,fpom.final,n15.bromeliad.final,final.bromeliad.percentn,final.bromeliad.percentc,site.y,species1,species2,decomp,sample_size_species
argentina_1,argentina,mu0.1k0.5,0.1,0.5,0.43,0.03,b,280,30,70.5,1146.52,NA,16.6,5.9,6.5,NA,NA,NA,NA,NA,NA,NA,170,140,NA,NA,1.5672125,NA,376,17.5,69,6.4,9.32,NA,NA,NA,NA,NA,NA,100,70,NA,NA,45,NA,7.065065153408101,0.434883066759012,NA,argentina,0.45588235294117646,NA,0.45588235294117646,1
argentina_26,argentina,mu0.2k0.5,0.2,0.5,0.86,0.03,c,340,30,67,1380.95,214,2.9,1.2,6.54,NA,NA,NA,NA,NA,NA,NA,170,120,NA,NA,3.0860653,NA,25.7,NA,NA,5.95,17.04,NA,NA,NA,NA,NA,NA,60,60,NA,NA,60,NA,19.312807771968863,0.6489892814183782,NA,argentina,0.5735294117647058,NA,0.5735294117647058,1
argentina_30,argentina,mu0.4k0.5,0.4,0.5,1.72,0.03,c,280,29,59,911.86,NA,1.4,0.6,6.67,NA,NA,NA,NA,NA,NA,NA,150,140,NA,NA,1.3630270999999998,NA,45.7,NA,NA,5.95,73.22,NA,NA,NA,NA,NA,NA,60,80,NA,NA,45,NA,12.655428471850971,0.5376545597034019,NA,argentina,0.5142857142857142,NA,0.5142857142857142,1
argentina_20,argentina,mu0.6k0.5,0.6,0.5,2.58,0.03,a,600,35,58.5,981.87,257,18.3,7.5,6.61,NA,NA,NA,NA,NA,NA,NA,150,150,NA,NA,1.6101988999999999,NA,36.4,7.2,3,5.88,23.34,NA,NA,NA,NA,NA,NA,80,80,NA,NA,52,NA,20.692588658666633,0.5023049150394076,NA,argentina,0.4666666666666667,NA,0.4666666666666667,1
argentina_29,argentina,mu0.8k0.5,0.8,0.5,3.45,0.03,b,345,32,54,797.44,NA,18.2,6.9,6.65,NA,NA,NA,NA,NA,NA,NA,130,160,NA,NA,1.1570506,NA,52.3,17.8,7,6.43,25.16,NA,NA,NA,NA,NA,NA,90,70,NA,NA,58,NA,17.365236466565072,0.41612935401122497,NA,argentina,0.43509615384615385,NA,0.43509615384615385,1
argentina_15,argentina,mu1k0.5,1,0.5,4.31,0.03,b,230,29,70,843.93,230,16.9,6.3,6.74,NA,NA,NA,NA,NA,NA,NA,230,150,NA,NA,1.3469072,NA,71.4,16.1,6.3,6.52,2.36,NA,NA,NA,NA,NA,NA,130,40,NA,NA,20,NA,16.481107022867867,0.6168153080066919,NA,argentina,0.5840579710144927,NA,0.5840579710144927,1
argentina_12,argentina,mu1.5k0.5,1.5,0.5,6.46,0.03,c,435,35,55.5,946.79,205,17.6,6.6,6.85,NA,NA,NA,NA,NA,NA,NA,220,140,NA,NA,1.4167600999999999,NA,30.1,NA,NA,6.4,0.011,NA,NA,NA,NA,NA,NA,110,60,NA,NA,75,NA,15.658253580470127,0.525000810764222,NA,argentina,0.5357142857142857,NA,0.5357142857142857,1
argentina_3,argentina,mu2k0.5,2,0.5,8.62,0.03,a,300,33,60,912.75,432,19.3,7.2,6.61,NA,NA,NA,NA,NA,NA,NA,270,140,NA,NA,1.844833,NA,416,18.5,7.4,6.54,0.011,NA,NA,NA,NA,NA,NA,80,60,NA,NA,53,NA,4.736632268912855,0.6193094920209606,NA,argentina,0.6375661375661376,NA,0.6375661375661376,1
argentina_11,argentina,mu2.5k0.5,2.5,0.5,10.77,0.03,c,415,38,70.5,1467.83,335,8.2,3.2,6.39,NA,NA,NA,NA,NA,NA,NA,170,180,NA,NA,1.504524,NA,65.7,NA,NA,6.57,11.72,NA,NA,NA,NA,NA,NA,90,80,NA,NA,59,NA,25.564726486207334,0.48117464591565734,NA,argentina,0.5130718954248366,NA,0.5130718954248366,1
argentina_6,argentina,mu3k0.5,3,0.5,12.92,0.03,c,210,28,52,504.96,NA,3.7,1.7,6.92,NA,NA,NA,NA,NA,NA,NA,150,190,NA,NA,1.6872162,NA,105.7,NA,NA,6.79,51.73,NA,NA,NA,NA,NA,NA,100,70,NA,NA,43,NA,20.324874801735948,0.5618370151607259,NA,argentina,0.48245614035087714,NA,0.48245614035087714,1
argentina_19,argentina,mu0.1k1,0.1,1,0.43,0.05,c,430,28,53,1189.82,104.9,18,7.4,5.97,NA,NA,NA,NA,NA,NA,NA,170,220,NA,NA,1.4364622,NA,32.2,NA,NA,5.78,0.011,NA,NA,NA,NA,NA,NA,100,110,NA,NA,31,NA,18.113818151501704,0.6109620609813269,NA,argentina,0.45588235294117646,NA,0.45588235294117646,1
argentina_4,argentina,mu0.2k1,0.2,1,0.86,0.05,c,260,33,57.5,1132.85,242,2.4,1.3,6.66,NA,NA,NA,NA,NA,NA,NA,180,180,NA,NA,1.3827292,NA,53.2,10.6,4,6.33,6.51,NA,NA,NA,NA,NA,NA,100,80,NA,NA,51,NA,11.371643561605138,0.6366441456490479,NA,argentina,0.5,NA,0.5,1
argentina_13,argentina,mu0.4k1,0.4,1,1.72,0.05,a,365,33,58.5,789.22,276,10.2,4,6.76,NA,NA,NA,NA,NA,NA,NA,180,120,NA,NA,2.4251494,NA,28.1,14.2,5.8,5.88,0.011,NA,NA,NA,NA,NA,NA,90,60,NA,NA,77,NA,35.3560746801691,0.5849323207254192,NA,argentina,0.5,NA,0.5,1
argentina_2,argentina,mu0.6k1,0.6,1,2.58,0.05,c,450,33,53,1163.44,207,9.6,4.5,6.74,NA,NA,NA,NA,NA,NA,NA,210,160,NA,NA,1.4257156,NA,59.4,NA,NA,6.64,0.011,NA,NA,NA,NA,NA,NA,60,60,NA,NA,158,NA,30.84459377629445,0.4611912847407034,NA,argentina,0.6696428571428572,NA,0.6696428571428572,1
argentina_9,argentina,mu0.8k1,0.8,1,3.45,0.05,b,280,29,79.5,942.12,320,15.5,5.4,6.53,NA,NA,NA,NA,NA,NA,NA,120,160,NA,NA,1.6728873999999998,NA,69,17.4,6.9,6.27,65.81,NA,NA,NA,NA,NA,NA,60,80,NA,NA,80,NA,44.99589869064869,0.43025093003584175,NA,argentina,0.5,NA,0.5,1
argentina_17,argentina,mu1k1,1,1,4.31,0.05,a,370,33,50.5,899.43,242,16.9,6.8,5.62,NA,NA,NA,NA,NA,NA,NA,100,160,NA,NA,1.6227365999999999,NA,30.6,2.1,0.9,5.74,1.86,NA,NA,NA,NA,NA,NA,40,80,NA,NA,91,NA,33.60948749765913,0.45384912269882305,NA,argentina,0.55,NA,0.55,1
argentina_7,argentina,mu1.5k1,1.5,1,6.46,0.05,a,230,25,45.5,545.34,NA,20.2,7.8,6.29,NA,NA,NA,NA,NA,NA,NA,180,160,NA,NA,1.7319936999999999,NA,22.3,3.6,1.4,6.36,0.011,NA,NA,NA,NA,NA,NA,50,60,NA,NA,117,NA,35.943008599848895,0.5812422739091481,NA,argentina,0.6736111111111112,NA,0.6736111111111112,1
argentina_25,argentina,mu2k1,2,1,8.62,0.05,b,320,30,54.5,726.17,287,16.5,6.2,6.38,NA,NA,NA,NA,NA,NA,NA,130,200,NA,NA,1.5260171999999999,NA,42.9,17.6,7,6.26,0.011,NA,NA,NA,NA,NA,NA,80,60,NA,NA,117,NA,52.076899917490984,0.4846771269676435,NA,argentina,0.5423076923076923,NA,0.5423076923076923,1
