site_brom.id,site,mu,k,species,abundance,biomass
argentina_1,argentina,0.1,0.5,Coleoptera.33,14,1.1052631578947367
argentina_1,argentina,0.1,0.5,Diptera.276,2,2.3
argentina_1,argentina,0.1,0.5,Diptera.61,7,0.3888888888888889
argentina_10,argentina,2.5,1,Diptera.250,1,3
argentina_10,argentina,2.5,1,Diptera.276,2,2.5090909090909093
argentina_10,argentina,2.5,1,Diptera.61,6,0.08571428571428573
argentina_11,argentina,2.5,0.5,Coleoptera.33,7,0.7
argentina_11,argentina,2.5,0.5,Diptera.100,4,0.32941176470588235
argentina_11,argentina,2.5,0.5,Diptera.195,30,1.3
argentina_11,argentina,2.5,0.5,Diptera.250,1,4.2
argentina_11,argentina,2.5,0.5,Diptera.277,3,0.2
argentina_11,argentina,2.5,0.5,Diptera.61,63,1.0903846153846153
argentina_12,argentina,1.5,0.5,Coleoptera.33,38,4.5
argentina_12,argentina,1.5,0.5,Diptera.195,8,1.8857142857142857
argentina_12,argentina,1.5,0.5,Diptera.249,1,6.3
argentina_12,argentina,1.5,0.5,Diptera.250,1,14.6
argentina_12,argentina,1.5,0.5,Diptera.277,2,1.8
argentina_12,argentina,1.5,0.5,Diptera.61,28,0.224
argentina_13,argentina,0.4,1,Coleoptera.17,1,4.4
argentina_13,argentina,0.4,1,Coleoptera.33,6,0.4
argentina_13,argentina,0.4,1,Diptera.146,2,39.199999999999996
argentina_13,argentina,0.4,1,Diptera.195,2,0.4714285714285714
argentina_13,argentina,0.4,1,Diptera.250,1,7.5
argentina_13,argentina,0.4,1,Diptera.61,28,1.2320000000000002
argentina_14,argentina,1.5,2,Coleoptera.33,45,8.138297872340425
argentina_14,argentina,1.5,2,Diptera.100,5,0.4117647058823529
argentina_14,argentina,1.5,2,Diptera.277,3,0.9
argentina_14,argentina,1.5,2,Diptera.61,10,0.5555555555555556
argentina_15,argentina,1,0.5,Coleoptera.33,6,0.6
argentina_15,argentina,1,0.5,Diptera.61,2,0.11111111111111112
argentina_16,argentina,0.2,2,Coleoptera.33,33,4.437931034482759
argentina_16,argentina,0.2,2,Diptera.276,2,2.5090909090909093
argentina_16,argentina,0.2,2,Diptera.61,11,0.611111111111111
argentina_17,argentina,1,1,Coleoptera.33,2,0.12112676056338027
argentina_17,argentina,1,1,Diptera.100,1,0.08235294117647059
argentina_17,argentina,1,1,Diptera.250,1,6.1000000000000005
argentina_17,argentina,1,1,Diptera.277,1,0.3
argentina_17,argentina,1,1,Diptera.61,18,0.75
argentina_18,argentina,2.5,2,Coleoptera.33,1,0.060563380281690136
argentina_18,argentina,2.5,2,Diptera.146,1,3
argentina_18,argentina,2.5,2,Diptera.195,2,0.4714285714285714
argentina_18,argentina,2.5,2,Diptera.249,1,7.5
argentina_18,argentina,2.5,2,Diptera.61,21,0.5833333333333334
argentina_19,argentina,0.1,1,Coleoptera.3,3,6.6
argentina_19,argentina,0.1,1,Coleoptera.33,4,0.16
argentina_19,argentina,0.1,1,Diptera.276,2,2.2
argentina_19,argentina,0.1,1,Diptera.277,2,0.1
argentina_19,argentina,0.1,1,Diptera.61,3,0.16666666666666669
argentina_2,argentina,0.6,1,Coleoptera.33,18,2.3625
argentina_2,argentina,0.6,1,Diptera.100,8,0.2285714285714286
argentina_2,argentina,0.6,1,Diptera.146,3,48.3
argentina_2,argentina,0.6,1,Diptera.195,6,1.4142857142857144
argentina_2,argentina,0.6,1,Diptera.249,1,15
argentina_2,argentina,0.6,1,Diptera.276,7,1.9000000000000001
argentina_2,argentina,0.6,1,Diptera.61,39,2.1666666666666665
argentina_20,argentina,0.6,0.5,Coleoptera.33,15,1.392857142857143
argentina_20,argentina,0.6,0.5,Diptera.100,3,0.24705882352941175
argentina_20,argentina,0.6,0.5,Diptera.249,1,2.9
argentina_20,argentina,0.6,0.5,Diptera.277,2,0.6
argentina_20,argentina,0.6,0.5,Diptera.61,7,0.3888888888888889
argentina_21,argentina,0.8,2,Coleoptera.33,4,0.39999999999999997
argentina_21,argentina,0.8,2,Diptera.100,10,0.8235294117647058
argentina_21,argentina,0.8,2,Diptera.250,1,9.1
argentina_21,argentina,0.8,2,Diptera.276,1,1
argentina_21,argentina,0.8,2,Diptera.61,21,0.7736842105263158
argentina_22,argentina,3,2,Coleoptera.33,22,3.921739130434783
argentina_22,argentina,3,2,Diptera.100,3,0.24705882352941175
argentina_22,argentina,3,2,Diptera.195,4,0.2
argentina_22,argentina,3,2,Diptera.249,1,2.4
argentina_22,argentina,3,2,Diptera.276,2,1.9
argentina_22,argentina,3,2,Diptera.277,1,0.3
argentina_22,argentina,3,2,Diptera.61,18,0.07500000000000001
argentina_23,argentina,0.6,2,Coleoptera.33,4,0.24225352112676055
argentina_23,argentina,0.6,2,Diptera.195,3,0.7071428571428572
argentina_23,argentina,0.6,2,Diptera.61,11,0.5
argentina_24,argentina,2,2,Coleoptera.33,32,5.264516129032258
argentina_24,argentina,2,2,Diptera.100,5,0.4117647058823529
argentina_24,argentina,2,2,Diptera.276,1,1.2545454545454546
argentina_24,argentina,2,2,Diptera.61,33,1.2571428571428573
argentina_25,argentina,2,1,Coleoptera.33,13,3.2500000000000004
argentina_25,argentina,2,1,Diptera.100,6,0.4941176470588235
argentina_25,argentina,2,1,Diptera.195,1,0.2357142857142857
argentina_25,argentina,2,1,Diptera.277,1,0.3
argentina_25,argentina,2,1,Diptera.61,47,0.36153846153846153
argentina_25,argentina,2,1,Hirudinea.7,1,0.22666666666666702
argentina_26,argentina,0.2,0.5,Coleoptera.33,23,0.9409090909090909
argentina_26,argentina,0.2,0.5,Diptera.250,1,16.9
argentina_26,argentina,0.2,0.5,Diptera.276,2,1.4
argentina_26,argentina,0.2,0.5,Diptera.61,11,0.611111111111111
argentina_27,argentina,1,2,Coleoptera.33,4,0.24225352112676055
argentina_27,argentina,1,2,Diptera.100,22,0.2444444444444445
argentina_27,argentina,1,2,Diptera.195,3,0.7071428571428572
argentina_27,argentina,1,2,Diptera.250,1,12
argentina_27,argentina,1,2,Diptera.277,1,0.3
argentina_27,argentina,1,2,Diptera.61,23,0.8049999999999999
argentina_27,argentina,1,2,Trichoptera.2,1,0.25
argentina_28,argentina,3,1,Coleoptera.33,5,0.8125
argentina_28,argentina,3,1,Diptera.100,7,0.5764705882352941
argentina_28,argentina,3,1,Diptera.195,2,0.4714285714285714
argentina_28,argentina,3,1,Diptera.250,1,13.899999999999999
argentina_28,argentina,3,1,Diptera.61,25,0.6666666666666666
argentina_29,argentina,0.8,0.5,Coleoptera.33,7,0.8
argentina_29,argentina,0.8,0.5,Diptera.100,1,0.08235294117647059
argentina_29,argentina,0.8,0.5,Diptera.61,12,0.6666666666666667
argentina_3,argentina,2,0.5,Coleoptera.33,14,0.5764705882352941
argentina_3,argentina,2,0.5,Diptera.195,1,0.2357142857142857
argentina_3,argentina,2,0.5,Diptera.250,1,3
argentina_3,argentina,2,0.5,Diptera.276,1,1.2545454545454546
argentina_30,argentina,0.4,0.5,Coleoptera.33,5,1.4999999999999998
argentina_30,argentina,0.4,0.5,Diptera.250,1,46.800000000000004
argentina_30,argentina,0.4,0.5,Diptera.61,7,0.3888888888888889
argentina_4,argentina,0.2,1,Diptera.146,1,6.2
argentina_4,argentina,0.2,1,Diptera.195,5,1.1785714285714286
argentina_4,argentina,0.2,1,Diptera.276,2,2.5090909090909093
