site_brom.id,site,trt.name,mu.scalar,k.scalar,intended.mu,intended.k,temporal.block,maxvol,leaf.number,mean.diam,catchment.area,turbidity.initial,oxygen.percent.initial,oxygen.conc.initial,ph.initial,chlorophyll.initial,bacteria.per.ml..initial,amoeba.per.ml.initial,algae.per.ml.initial,ciliates.per.ml.initial,flagellates.per.ml.initial,rotifers.per.ml.initial,leafpack1.species1.mass.initial,leafpack2.species1.mass.initial,leafpack1.species2.mass.initial,leafpack2.species2.mass.initial,co2.final,methane.final,turbidity.final,oxygen.percent.final,oxygen.conc.final,ph.final,chlorophyll.final,bacteria.per.ml.final,amoeba.per.ml.final,algae.per.ml.final,ciliates.per.ml.final,flagellates.per.ml.final,rotifers.per.ml.final,leafpack1.species1.mass.final,leafpack2.species1.mass.final,leafpack1.species2.mass.final,leafpack2.species2.mass.final,water.volume.final,fpom.final,n15.bromeliad.final,final.bromeliad.percentn,final.bromeliad.percentc,species1,species2,decomp,sample_size_species,mean.depth,max.depth,min.depth,amplitude,net_fluc,tot_fluc,sd.depth,cv.depth,wetness,prop.overflow.days,prop.driedout.days,long_dry,long_wet,n_driedout,n_overflow,last_dry,last_wet,NA_NA_total_abundance,NA_NA_total_biomass,NA_NA_total_taxa,predator_engulfer_total_abundance,predator_engulfer_total_biomass,predator_engulfer_total_taxa,predator_piercer_total_abundance,predator_piercer_total_biomass,predator_piercer_total_taxa,prey_filter.feeder_total_abundance,prey_filter.feeder_total_biomass,prey_filter.feeder_total_taxa,prey_gatherer_total_abundance,prey_gatherer_total_biomass,prey_gatherer_total_taxa,prey_piercer_total_abundance,prey_piercer_total_biomass,prey_piercer_total_taxa,prey_scraper_total_abundance,prey_scraper_total_biomass,prey_scraper_total_taxa,prey_shredder_total_abundance,prey_shredder_total_biomass,prey_shredder_total_taxa,predator_biomass,prey_biomass,predator_abundance,prey_abundance,Coleoptera_bio,Diptera_bio,Ephemeroptera_bio,Haplotaxida_bio,Lepidoptera_bio,Odonata_bio,ord_NA_bio,Podocopida_bio,Trichoptera_bio,Hirudinea_bio,Neoptera_bio,Oligochaeta_bio,Palaeoptera_bio,Podocopa_bio,subclass_NA_bio,Aeolosomatidae_bio,Anisopodidae_bio,Calamoceratidae_bio,Candonidae_bio,Cecidomyiidae_bio,Ceratopogonidae_bio,Chironomidae_bio,Coenagrionidae_bio,Corethrellidae_bio,Culicidae_bio,Curculionidae_bio,Dolichopodidae_bio,Dytiscidae_bio,Elateridae_bio,Elmidae_bio,Empididae_bio,Enchytraeoidae_bio,Ephydridae_bio,family_NA_bio,Hydrophilidae_bio,Lampyridae_bio,Limnocytheridae_bio,Limoniidae_bio,Muscidae_bio,Naididae_bio,Periscelididae_bio,Phoridae_bio,Pseudostigmatidae_bio,Psychodidae_bio,Ptilodactylidae_bio,Scatopsidae_bio,Sciaridae_bio,Scirtidae_bio,Sphaeroceridae_bio,Stratiomyidae_bio,Syrphidae_bio,Tabanidae_bio,Tipulidae_bio,Anophelinae_bio,Calamoceratinae_bio,Candoninae_bio,Ceratopogoninae_bio,Chioneinae_bio,Chironominae_bio,Copelatinae_bio,Corethrellinae_bio,Culicinae_bio,Dasyheleniae_bio,Eristalinae_bio,Forcipomyiinae_bio,Hermetiinae_bio,Limoniinae_bio,Naidinae_bio,Orthocladiinae_bio,Pristininae_bio,Psychodinae_bio,Sphaeridiinae_bio,subfamily_NA_bio,Tabaninae_bio,Tanypodinae_bio,Timiriaseviinae_bio,Tipulinae_bio,Aelosoma_bio,Anopheles_bio,Atrichopogon_bio,Aulophorus_bio,Bezzia_bio,Bromeliagrion_bio,Candonopsis_bio,Cheilotrichia_bio,Chironomus_bio,Contacyphon_bio,Copelatus_bio,Corethrella_bio,Corynoneura_bio,Culex_bio,Culicoides_bio,Dero_bio,Elpidium_bio,Eristalis_bio,Forcipomyia_bio,genus_NA_bio,Haemagogus_bio,Harnischia_bio,Hermetia_bio,Larsia_bio,Leptagrion_bio,Limnophyes_bio,Mecistogaster_bio,Monopelopia_bio,Pericoma_bio,Phylloicus_bio,Polypedilum_bio,Pristina_bio,Sphaeromias_bio,Stenochironomus_bio,Stibasoma_bio,Stilobezzia_bio,Tanytarsus_bio,Tipula_bio,Toxorhynchites_bio,Trentepohlia_bio,Wyeomyia_bio,cv_max_temp,cv_mean_temp,cv_min_temp,max_temp,mean_temp,min_temp,sd_max_temp,sd_mean_temp,sd_min_temp
argentina_1,argentina,mu0.1k0.5,0.1,0.5,0.43,0.03,b,280,30,70.5,1146.52,NA,16.6,5.9,6.5,NA,NA,NA,NA,NA,NA,NA,170,140,NA,NA,1.5672125,NA,376,17.5,69,6.4,9.32,NA,NA,NA,NA,NA,NA,100,70,NA,NA,45,NA,7.065065153408101,0.434883066759012,NA,0.45588235294117646,NA,0.45588235294117646,1,8.194444444444445,59.375,0,59.375,-67.2,67.2,15.855456826734212,227.6321289046315,0.12516919369026885,0.03333333333333333,0.7777777777777777,20,2,35,1.5,4,34,0,0,0,0,0,0,0,0,0,0,0,0,7,0.3888888888888889,1,0,0,0,14,1.1052631578947367,1,2,2.3,1,0,3.7941520467836254,0,23,1.1052631578947367,2.6888888888888887,0,0,0,0,0,0,0,0,3.7941520467836254,0,0,0,0,0,0,0,0,0,0,0.3888888888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1052631578947367,0,0,0,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7941520467836254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7941520467836254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.731592071827308,10.771496214971917,17.965006920688023,29.5,23.252176616915428,17.813432835820894,3.4608196611890554,2.5046073241896303,3.200184441767336
argentina_26,argentina,mu0.2k0.5,0.2,0.5,0.86,0.03,c,340,30,67,1380.95,214,2.9,1.2,6.54,NA,NA,NA,NA,NA,NA,NA,170,120,NA,NA,3.0860653,NA,25.7,NA,NA,5.95,17.04,NA,NA,NA,NA,NA,NA,60,60,NA,NA,60,NA,19.312807771968863,0.6489892814183782,NA,0.5735294117647058,NA,0.5735294117647058,1,7.1651041666666675,44.45,0,44.45,-12.55,209.75,10.537955026798365,157.9310327676858,0.16003845658851926,0.041666666666666664,0.59375,14.5,0,28.5,2,4,35,0,0,0,0,0,0,1,16.9,1,0,0,0,11,0.611111111111111,1,0,0,0,23,0.9409090909090909,1,2,1.4,1,16.9,2.952020202020202,1,36,0.9409090909090909,18.911111111111108,0,0,0,0,0,0,0,0,19.8520202020202,0,0,0,0,0,0,0,0,0,0,0.611111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9409090909090909,0,0,0,16.9,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.8520202020202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.8520202020202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.46509200850184,9.547773837145735,15.787519513518495,29.85820895522388,23.89023631840796,18.402985074626866,3.124689039254915,2.280985732841244,2.9053748597266127
argentina_30,argentina,mu0.4k0.5,0.4,0.5,1.72,0.03,c,280,29,59,911.86,NA,1.4,0.6,6.67,NA,NA,NA,NA,NA,NA,NA,150,140,NA,NA,1.3630270999999998,NA,45.7,NA,NA,5.95,73.22,NA,NA,NA,NA,NA,NA,60,80,NA,NA,45,NA,12.655428471850971,0.5376545597034019,NA,0.5142857142857142,NA,0.5142857142857142,1,37.81822916666667,76.975,0,76.975,5.599999999999996,407.09999999999997,22.79463887052956,71.07122151838072,0.4686051719118175,0.09375,0.20833333333333334,4.5,3,10,4.5,4,35,0,0,0,0,0,0,1,46.800000000000004,1,0,0,0,7,0.3888888888888889,1,0,0,0,5,1.4999999999999998,1,0,0,0,46.800000000000004,1.8888888888888886,1,12,1.4999999999999998,47.18888888888889,0,0,0,0,0,0,0,0,48.68888888888889,0,0,0,0,0,0,0,0,0,0,0.3888888888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4999999999999998,0,0,0,46.800000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.68888888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.68888888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.210654048986525,10.152035100900294,18.46137910485037,32.1044776119403,23.851057213930346,17.34328358208955,3.9201666954283603,2.42136770029402,3.201809331318825
argentina_20,argentina,mu0.6k0.5,0.6,0.5,2.58,0.03,a,600,35,58.5,981.87,257,18.3,7.5,6.61,NA,NA,NA,NA,NA,NA,NA,150,150,NA,NA,1.6101988999999999,NA,36.4,7.2,3,5.88,23.34,NA,NA,NA,NA,NA,NA,80,80,NA,NA,52,NA,20.692588658666633,0.5023049150394076,NA,0.4666666666666667,NA,0.4666666666666667,1,54.981818181818184,99.35,0,99.35,-96.57499999999999,438.025,27.51230922028349,52.27168427863987,0.5437917286996924,0.056818181818181816,0.07954545454545454,2.5,2,3.5,2.5,4,43,0,0,0,0,0,0,0,0,0,3,0.24705882352941175,1,8,3.2888888888888888,2,0,0,0,15,1.392857142857143,1,2,0.6,1,0,5.528804855275443,0,28,1.392857142857143,4.1359477124183,0,0,0,0,0,0,0,0,5.528804855275443,0,0,0,0,0,0,0,0,0,0,0.3888888888888889,0,0,0.24705882352941175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.392857142857143,0,2.9,0,0,0.6,0,0,0,0,0,0,0,0,0.24705882352941175,0,0,0,2.9,0,0,0,0,0,0,2.3817460317460317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24705882352941175,0,0,0,0,0,2.3817460317460317,0,0,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.557865923636728,10.254589168324674,17.42582332396764,29.48507462686567,23.57773631840796,18.46268656716418,3.407845392857366,2.417799994643616,3.2172751420519363
argentina_29,argentina,mu0.8k0.5,0.8,0.5,3.45,0.03,b,345,32,54,797.44,NA,18.2,6.9,6.65,NA,NA,NA,NA,NA,NA,NA,130,160,NA,NA,1.1570506,NA,52.3,17.8,7,6.43,25.16,NA,NA,NA,NA,NA,NA,90,70,NA,NA,58,NA,17.365236466565072,0.41612935401122497,NA,0.43509615384615385,NA,0.43509615384615385,1,27.599444444444444,74,0,74,-33.24999999999999,349.6,23.12303689841038,83.32401323104185,0.3784709261691359,0.06666666666666667,0.25555555555555554,5.5,2,11.5,3,4,21,0,0,0,0,0,0,0,0,0,1,0.08235294117647059,1,12,0.6666666666666667,1,0,0,0,7,0.8,1,0,0,0,0,1.5490196078431375,0,20,0.8,0.7490196078431374,0,0,0,0,0,0,0,0,1.5490196078431373,0,0,0,0,0,0,0,0,0,0,0.6666666666666667,0,0,0.08235294117647059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08235294117647059,0,0,0,0,0,0,0,0,0,0,1.4666666666666668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08235294117647059,0,0,0,0,0,1.4666666666666668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.666441670912517,9.695701265354508,16.51467976232108,31.37313432835821,24.097636815920396,18.619402985074625,3.660128416754942,2.3364348776817274,3.0749347766411264
argentina_15,argentina,mu1k0.5,1,0.5,4.31,0.03,b,230,29,70,843.93,230,16.9,6.3,6.74,NA,NA,NA,NA,NA,NA,NA,230,150,NA,NA,1.3469072,NA,71.4,16.1,6.3,6.52,2.36,NA,NA,NA,NA,NA,NA,130,40,NA,NA,20,NA,16.481107022867867,0.6168153080066919,NA,0.5840579710144927,NA,0.5840579710144927,1,0.056666666666666664,2.55,0,2.55,0,0,0.38013155617496425,670.820393249937,0.022222222222222223,0,1,24,0,45,0,4,65,0,0,0,0,0,0,0,0,0,0,0,0,2,0.11111111111111112,1,0,0,0,6,0.6,1,0,0,0,0,0.7111111111111111,0,8,0.6,0.11111111111111112,0,0,0,0,0,0,0,0,0.7111111111111111,0,0,0,0,0,0,0,0,0,0,0.11111111111111112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7111111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7111111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.718301711168749,10.334988555393622,18.253780848382263,30.208955223880597,23.493781094527364,17.895522388059703,3.539976516926201,2.4280795873486336,3.2666094383896027
argentina_12,argentina,mu1.5k0.5,1.5,0.5,6.46,0.03,c,435,35,55.5,946.79,205,17.6,6.6,6.85,NA,NA,NA,NA,NA,NA,NA,220,140,NA,NA,1.4167600999999999,NA,30.1,NA,NA,6.4,0.011,NA,NA,NA,NA,NA,NA,110,60,NA,NA,75,NA,15.658253580470127,0.525000810764222,NA,0.5357142857142857,NA,0.5357142857142857,1,45.50260416666667,86.25,0,86.25,44.95,470.25,27.320811440555822,64.80843960967782,0.5068033305430821,0.125,0.17708333333333331,7,3.5,8.5,6,4,35,0,0,0,0,0,0,1,14.6,1,0,0,0,37,8.409714285714285,3,0,0,0,38,4.5,1,2,1.8,1,14.6,14.709714285714286,1,77,4.5,24.809714285714286,0,0,0,0,0,0,0,0,29.309714285714286,0,0,0,0,0,0,0,0,0,0,0.224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8857142857142857,0,0,0,4.5,0,6.3,0,14.6,1.8,0,0,0,0,0,0,0,0,0,0,0,0,6.3,0,0,0,0,1.8857142857142857,0,21.124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.124,0,0,6.3,0,0,0,0,0,1.8857142857142857,0,0,0,0,0,0,0,0,0,0,0,0,10.92220997739815,9.49514901619824,16.765291638862898,30.32089552238806,23.488495024875622,17.94776119402985,3.3117118759827378,2.23026760427425,3.0089945068257666
argentina_3,argentina,mu2k0.5,2,0.5,8.62,0.03,a,300,33,60,912.75,432,19.3,7.2,6.61,NA,NA,NA,NA,NA,NA,NA,270,140,NA,NA,1.844833,NA,416,18.5,7.4,6.54,0.011,NA,NA,NA,NA,NA,NA,80,60,NA,NA,53,NA,4.736632268912855,0.6193094920209606,NA,0.6375661375661376,NA,0.6375661375661376,1,19.74659090909091,51.775,0,51.775,4.325000000000003,239.47500000000002,17.38680661152339,91.11699063772775,0.3767283044958025,0.125,0.375,7,2,16.5,5.5,4,23,0,0,0,0,0,0,1,3,1,0,0,0,1,0.2357142857142857,1,0,0,0,14,0.5764705882352941,1,1,1.2545454545454546,1,3,2.0667303284950345,1,16,0.5764705882352941,4.490259740259741,0,0,0,0,0,0,0,0,5.0667303284950345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2357142857142857,0,0,0,0.5764705882352941,0,0,0,3,1.2545454545454546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2357142857142857,0,4.831016042780749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.831016042780749,0,0,0,0,0,0,0,0,0.2357142857142857,0,0,0,0,0,0,0,0,0,0,0,0,11.458583970523561,11.268783019192623,18.56795304421911,29.28358208955224,23.15640547263682,17.865671641791046,3.3554838433085417,2.6094450877558892,3.3172895214821305
argentina_11,argentina,mu2.5k0.5,2.5,0.5,10.77,0.03,c,415,38,70.5,1467.83,335,8.2,3.2,6.39,NA,NA,NA,NA,NA,NA,NA,170,180,NA,NA,1.504524,NA,65.7,NA,NA,6.57,11.72,NA,NA,NA,NA,NA,NA,90,80,NA,NA,59,NA,25.564726486207334,0.48117464591565734,NA,0.5130718954248366,NA,0.5130718954248366,1,29.504166666666663,71.175,0,71.175,9.400000000000002,509.4,23.97347587271095,83.98756057783578,0.40528343902997,0.09375,0.26041666666666663,6,4,12.5,4.5,4,35,0,0,0,0,0,0,1,4.2,1,4,0.32941176470588235,1,93,2.3903846153846153,2,0,0,0,7,0.7,1,3,0.2,1,4.2,3.6197963800904978,1,107,0.7,7.119796380090498,0,0,0,0,0,0,0,0,7.819796380090498,0,0,0,0,0,0,0,0,0,0,1.0903846153846153,0,0,0.32941176470588235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0.7,0,0,0,4.2,0.2,0,0,0,0,0,0,0,0,0.32941176470588235,0,0,0,0,0,0,0,0,1.3,0,6.190384615384615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32941176470588235,0,0,0,0,0,6.190384615384615,0,0,0,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,10.499128802730302,10.471440489079892,18.408556518906792,29.104477611940297,22.943718905472636,17.111940298507463,3.055716591839416,2.40253787116834,3.1500612013323335
argentina_6,argentina,mu3k0.5,3,0.5,12.92,0.03,c,210,28,52,504.96,NA,3.7,1.7,6.92,NA,NA,NA,NA,NA,NA,NA,150,190,NA,NA,1.6872162,NA,105.7,NA,NA,6.79,51.73,NA,NA,NA,NA,NA,NA,100,70,NA,NA,43,NA,20.324874801735948,0.5618370151607259,NA,0.48245614035087714,NA,0.48245614035087714,1,11.561458333333334,53.150000000000006,0,53.150000000000006,18.200000000000003,300.6,13.932713065311106,124.16445438882585,0.22980933959910782,0.041666666666666664,0.46875,6,2,22.5,2,4,22,0,0,0,2,4.4,1,1,12.4,1,0,0,0,34,0.5625,2,0,0,0,6,0.36338028169014086,1,1,1.1,1,16.8,2.025880281690141,3,41,4.763380281690141,14.0625,0,0,0,0,0,0,0,0,18.825880281690143,0,0,0,0,0,0,0,0,0,0,0.36250000000000004,0,0,0,0,0,0,0,0,0,0,0,4.4,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0.36338028169014086,0,0,0,12.4,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,18.62588028169014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.62588028169014,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,10.119599373771528,10.012790561508464,14.95842247646198,26.597014925373134,22.481965174129353,18.291044776119403,2.6915113558299795,2.2510720869968437,2.7360517529707695
