site_brom.id,site,trt.name,date,max.temp,min.temp,mean.temp
argentina_1,argentina,mu0.1k0.5,2013-10-13T00:00:00Z,26,16,21.4166666666667
argentina_26,argentina,mu0.2k0.5,2013-10-13T00:00:00Z,27.5,16,22.1875
argentina_30,argentina,mu0.4k0.5,2013-10-13T00:00:00Z,28,15.5,21.8125
argentina_20,argentina,mu0.6k0.5,2013-10-13T00:00:00Z,27,16.5,21.9583333333333
argentina_29,argentina,mu0.8k0.5,2013-10-13T00:00:00Z,28.5,16,22.1875
argentina_15,argentina,mu1k0.5,2013-10-13T00:00:00Z,28.5,16,22.2291666666667
argentina_12,argentina,mu1.5k0.5,2013-10-13T00:00:00Z,27.5,16,22.1458333333333
argentina_3,argentina,mu2k0.5,2013-10-13T00:00:00Z,26,16,21.2916666666667
argentina_11,argentina,mu2.5k0.5,2013-10-13T00:00:00Z,26.5,15.5,21.4166666666667
argentina_6,argentina,mu3k0.5,2013-10-13T00:00:00Z,26,16,21.0208333333333
argentina_19,argentina,mu0.1k1,2013-10-13T00:00:00Z,28.5,15.5,22.1458333333333
argentina_4,argentina,mu0.2k1,2013-10-13T00:00:00Z,26.5,16,21.3541666666667
argentina_13,argentina,mu0.4k1,2013-10-13T00:00:00Z,24.5,16.5,21.0416666666667
argentina_2,argentina,mu0.6k1,2013-10-13T00:00:00Z,27.5,16,22
argentina_9,argentina,mu0.8k1,2013-10-13T00:00:00Z,28,16,22.25
argentina_17,argentina,mu1k1,2013-10-13T00:00:00Z,28,15.5,21.9166666666667
argentina_7,argentina,mu1.5k1,2013-10-13T00:00:00Z,27,16,21.625
argentina_25,argentina,mu2k1,2013-10-13T00:00:00Z,29,16,21.9583333333333
argentina_10,argentina,mu2.5k1,2013-10-13T00:00:00Z,NA,NA,NA
argentina_28,argentina,mu3k1,2013-10-13T00:00:00Z,26,16.5,21.6875
argentina_8,argentina,mu0.1k2,2013-10-13T00:00:00Z,28,16.5,22.1666666666667
argentina_16,argentina,mu0.2k2,2013-10-13T00:00:00Z,28,15.5,22.1875
argentina_5,argentina,mu0.4k2,2013-10-13T00:00:00Z,27,16,21.6458333333333
argentina_23,argentina,mu0.6k2,2013-10-13T00:00:00Z,28,16,22.2916666666667
argentina_21,argentina,mu0.8k2,2013-10-13T00:00:00Z,28.5,15.5,22.2708333333333
argentina_27,argentina,mu1k2,2013-10-13T00:00:00Z,27,16.5,22
argentina_14,argentina,mu1.5k2,2013-10-13T00:00:00Z,27,16,21.5416666666667
argentina_24,argentina,mu2k2,2013-10-13T00:00:00Z,27,16,21.625
argentina_18,argentina,mu2.5k2,2013-10-13T00:00:00Z,NA,NA,NA
argentina_22,argentina,mu3k2,2013-10-13T00:00:00Z,29.5,15.5,22.4791666666667
argentina_1,argentina,mu0.1k0.5,2013-10-14T00:00:00Z,27.5,17.5,22.3958333333333
argentina_26,argentina,mu0.2k0.5,2013-10-14T00:00:00Z,29,18,23.1666666666667
argentina_30,argentina,mu0.4k0.5,2013-10-14T00:00:00Z,31.5,17,23.1666666666667
argentina_20,argentina,mu0.6k0.5,2013-10-14T00:00:00Z,28.5,17.5,23
argentina_29,argentina,mu0.8k0.5,2013-10-14T00:00:00Z,30,18,23.5
argentina_15,argentina,mu1k0.5,2013-10-14T00:00:00Z,29.5,17,23.0208333333333
argentina_12,argentina,mu1.5k0.5,2013-10-14T00:00:00Z,30,17.5,23.375
argentina_3,argentina,mu2k0.5,2013-10-14T00:00:00Z,29,17.5,22.5625
argentina_11,argentina,mu2.5k0.5,2013-10-14T00:00:00Z,29,16.5,22.6041666666667
argentina_6,argentina,mu3k0.5,2013-10-14T00:00:00Z,27,17.5,22.1458333333333
argentina_19,argentina,mu0.1k1,2013-10-14T00:00:00Z,30,17,23.0208333333333
argentina_4,argentina,mu0.2k1,2013-10-14T00:00:00Z,28.5,17.5,22.5416666666667
argentina_13,argentina,mu0.4k1,2013-10-14T00:00:00Z,27,17.5,22.0625
argentina_2,argentina,mu0.6k1,2013-10-14T00:00:00Z,30,17,23.3333333333333
argentina_9,argentina,mu0.8k1,2013-10-14T00:00:00Z,29,17,23.0416666666667
argentina_17,argentina,mu1k1,2013-10-14T00:00:00Z,30.5,17,23.3958333333333
argentina_7,argentina,mu1.5k1,2013-10-14T00:00:00Z,29,17,22.6666666666667
argentina_25,argentina,mu2k1,2013-10-14T00:00:00Z,28.5,17.5,22.6666666666667
argentina_10,argentina,mu2.5k1,2013-10-14T00:00:00Z,NA,NA,NA
argentina_28,argentina,mu3k1,2013-10-14T00:00:00Z,27.5,18,22.6666666666667
argentina_8,argentina,mu0.1k2,2013-10-14T00:00:00Z,30,17.5,23.4375
argentina_16,argentina,mu0.2k2,2013-10-14T00:00:00Z,31.5,17,23.5208333333333
argentina_5,argentina,mu0.4k2,2013-10-14T00:00:00Z,29.5,17.5,22.8958333333333
argentina_23,argentina,mu0.6k2,2013-10-14T00:00:00Z,30,17.5,23.5208333333333
argentina_21,argentina,mu0.8k2,2013-10-14T00:00:00Z,31,17,22.875
argentina_27,argentina,mu1k2,2013-10-14T00:00:00Z,28.5,17.5,22.9583333333333
argentina_14,argentina,mu1.5k2,2013-10-14T00:00:00Z,29,17,22.625
argentina_24,argentina,mu2k2,2013-10-14T00:00:00Z,28.5,17,22.5416666666667
argentina_18,argentina,mu2.5k2,2013-10-14T00:00:00Z,NA,NA,NA
argentina_22,argentina,mu3k2,2013-10-14T00:00:00Z,29.5,17.5,23.5416666666667
argentina_1,argentina,mu0.1k0.5,2013-10-15T00:00:00Z,28.5,16,21.8125
argentina_26,argentina,mu0.2k0.5,2013-10-15T00:00:00Z,29.5,16.5,22.5833333333333
argentina_30,argentina,mu0.4k0.5,2013-10-15T00:00:00Z,33,15.5,22.1875
argentina_20,argentina,mu0.6k0.5,2013-10-15T00:00:00Z,28.5,16.5,22.2916666666667
argentina_29,argentina,mu0.8k0.5,2013-10-15T00:00:00Z,28.5,16.5,22.3333333333333
argentina_15,argentina,mu1k0.5,2013-10-15T00:00:00Z,30.5,16,22.4166666666667
argentina_12,argentina,mu1.5k0.5,2013-10-15T00:00:00Z,29,16.5,22.4166666666667
argentina_3,argentina,mu2k0.5,2013-10-15T00:00:00Z,29.5,16,22.0833333333333
argentina_11,argentina,mu2.5k0.5,2013-10-15T00:00:00Z,28,15.5,21.7083333333333
argentina_6,argentina,mu3k0.5,2013-10-15T00:00:00Z,25,16.5,21.0625
argentina_19,argentina,mu0.1k1,2013-10-15T00:00:00Z,30.5,16,22.5
argentina_4,argentina,mu0.2k1,2013-10-15T00:00:00Z,28,16.5,21.7291666666667
argentina_13,argentina,mu0.4k1,2013-10-15T00:00:00Z,27,16.5,21.6041666666667
argentina_2,argentina,mu0.6k1,2013-10-15T00:00:00Z,29,16,22.2708333333333
argentina_9,argentina,mu0.8k1,2013-10-15T00:00:00Z,29.5,16,22.4166666666667
argentina_17,argentina,mu1k1,2013-10-15T00:00:00Z,32.5,15,23.2708333333333
argentina_7,argentina,mu1.5k1,2013-10-15T00:00:00Z,29.5,15.5,22.4791666666667
argentina_25,argentina,mu2k1,2013-10-15T00:00:00Z,30.5,16,21.9791666666667
argentina_10,argentina,mu2.5k1,2013-10-15T00:00:00Z,NA,NA,NA
argentina_28,argentina,mu3k1,2013-10-15T00:00:00Z,28.5,16.5,22.375
argentina_8,argentina,mu0.1k2,2013-10-15T00:00:00Z,30.5,16.5,22.9166666666667
argentina_16,argentina,mu0.2k2,2013-10-15T00:00:00Z,31,15.5,22.75
argentina_5,argentina,mu0.4k2,2013-10-15T00:00:00Z,30.5,16,22.5208333333333
argentina_23,argentina,mu0.6k2,2013-10-15T00:00:00Z,31.5,16,23.375
argentina_21,argentina,mu0.8k2,2013-10-15T00:00:00Z,31,15.5,22.8333333333333
argentina_27,argentina,mu1k2,2013-10-15T00:00:00Z,30,16,22.7291666666667
argentina_14,argentina,mu1.5k2,2013-10-15T00:00:00Z,29,16,21.9375
argentina_24,argentina,mu2k2,2013-10-15T00:00:00Z,31,16,22.3958333333333
argentina_18,argentina,mu2.5k2,2013-10-15T00:00:00Z,NA,NA,NA
argentina_22,argentina,mu3k2,2013-10-15T00:00:00Z,28.5,16,22.1666666666667
argentina_1,argentina,mu0.1k0.5,2013-10-16T00:00:00Z,27.5,14.5,20.7916666666667
