site_brom.id,site,trt.name,mu.scalar,k.scalar,intended.mu,intended.k,temporal.block,maxvol,leaf.number,mean.diam,catchment.area,turbidity.final,oxygen.percent.final,oxygen.conc.final,ph.final,chlorophyll.final,water.volume.final,fpom.final,mean.depth,max.depth,min.depth,amplitude,net_fluc,tot_fluc,sd.depth,cv.depth,wetness,prop.overflow.days,prop.driedout.days,long_dry,long_wet,n_driedout,n_overflow,last_dry,last_wet,predator_engulfer_total_abundance,predator_engulfer_total_biomass,predator_engulfer_total_taxa,predator_piercer_total_abundance,predator_piercer_total_biomass,predator_piercer_total_taxa,prey_filter.feeder_total_abundance,prey_filter.feeder_total_biomass,prey_filter.feeder_total_taxa,prey_gatherer_total_abundance,prey_gatherer_total_biomass,prey_gatherer_total_taxa,prey_piercer_total_abundance,prey_piercer_total_biomass,prey_piercer_total_taxa,prey_scraper_total_abundance,prey_scraper_total_biomass,prey_scraper_total_taxa,prey_shredder_total_abundance,prey_shredder_total_biomass,prey_shredder_total_taxa,predator_biomass,prey_biomass,predator_abundance,prey_abundance,Odonata_bio,cv_max_temp,cv_mean_temp,cv_min_temp,max_temp,mean_temp,min_temp,sd_max_temp,sd_mean_temp,sd_min_temp,pred_prey_biom_ratio,pred_prey_abund_ratio
argentina_1,argentina,mu0.1k0.5,0.1,0.5,0.43,0.03,b,280,30,70.5,1146.52,376,17.5,69,6.4,9.32,45,NA,8.194444444444445,59.375,0,59.375,-67.2,67.2,15.855456826734212,227.6321289046315,0.12516919369026885,0.03333333333333333,0.7777777777777777,20,2,35,1.5,4,34,0,0,0,0,0,0,0,0,0,7,0.3888888888888889,1,0,0,0,14,1.1052631578947367,1,2,2.3,1,0,3.7941520467836254,0,23,0,11.731592071827308,10.771496214971917,17.965006920688023,29.5,23.252176616915428,17.813432835820894,3.4608196611890554,2.5046073241896303,3.200184441767336,0,0
argentina_26,argentina,mu0.2k0.5,0.2,0.5,0.86,0.03,c,340,30,67,1380.95,25.7,NA,NA,5.95,17.04,60,NA,7.1651041666666675,44.45,0,44.45,-12.55,209.75,10.537955026798365,157.9310327676858,0.16003845658851926,0.041666666666666664,0.59375,14.5,0,28.5,2,4,35,0,0,0,1,16.9,1,0,0,0,11,0.611111111111111,1,0,0,0,23,0.9409090909090909,1,2,1.4,1,16.9,2.952020202020202,1,36,0,10.46509200850184,9.547773837145735,15.787519513518495,29.85820895522388,23.89023631840796,18.402985074626866,3.124689039254915,2.280985732841244,2.9053748597266127,5.724893071000855,0.027777777777777776
argentina_30,argentina,mu0.4k0.5,0.4,0.5,1.72,0.03,c,280,29,59,911.86,45.7,NA,NA,5.95,73.22,45,NA,37.81822916666667,76.975,0,76.975,5.599999999999996,407.09999999999997,22.79463887052956,71.07122151838072,0.4686051719118175,0.09375,0.20833333333333334,4.5,3,10,4.5,4,35,0,0,0,1,46.800000000000004,1,0,0,0,7,0.3888888888888889,1,0,0,0,5,1.4999999999999998,1,0,0,0,46.800000000000004,1.8888888888888886,1,12,0,12.210654048986525,10.152035100900294,18.46137910485037,32.1044776119403,23.851057213930346,17.34328358208955,3.9201666954283603,2.42136770029402,3.201809331318825,24.7764705882353,0.08333333333333333
argentina_20,argentina,mu0.6k0.5,0.6,0.5,2.58,0.03,a,600,35,58.5,981.87,36.4,7.2,3,5.88,23.34,52,NA,54.981818181818184,99.35,0,99.35,-96.57499999999999,438.025,27.51230922028349,52.27168427863987,0.5437917286996924,0.056818181818181816,0.07954545454545454,2.5,2,3.5,2.5,4,43,0,0,0,0,0,0,3,0.24705882352941175,1,8,3.2888888888888888,2,0,0,0,15,1.392857142857143,1,2,0.6,1,0,5.528804855275443,0,28,0,11.557865923636728,10.254589168324674,17.42582332396764,29.48507462686567,23.57773631840796,18.46268656716418,3.407845392857366,2.417799994643616,3.2172751420519363,0,0
argentina_29,argentina,mu0.8k0.5,0.8,0.5,3.45,0.03,b,345,32,54,797.44,52.3,17.8,7,6.43,25.16,58,NA,27.599444444444444,74,0,74,-33.24999999999999,349.6,23.12303689841038,83.32401323104185,0.3784709261691359,0.06666666666666667,0.25555555555555554,5.5,2,11.5,3,4,21,0,0,0,0,0,0,1,0.08235294117647059,1,12,0.6666666666666667,1,0,0,0,7,0.8,1,0,0,0,0,1.5490196078431375,0,20,0,11.666441670912517,9.695701265354508,16.51467976232108,31.37313432835821,24.097636815920396,18.619402985074625,3.660128416754942,2.3364348776817274,3.0749347766411264,0,0
argentina_15,argentina,mu1k0.5,1,0.5,4.31,0.03,b,230,29,70,843.93,71.4,16.1,6.3,6.52,2.36,20,NA,0.056666666666666664,2.55,0,2.55,0,0,0.38013155617496425,670.820393249937,0.022222222222222223,0,1,24,0,45,0,4,65,0,0,0,0,0,0,0,0,0,2,0.11111111111111112,1,0,0,0,6,0.6,1,0,0,0,0,0.7111111111111111,0,8,0,11.718301711168749,10.334988555393622,18.253780848382263,30.208955223880597,23.493781094527364,17.895522388059703,3.539976516926201,2.4280795873486336,3.2666094383896027,0,0
argentina_12,argentina,mu1.5k0.5,1.5,0.5,6.46,0.03,c,435,35,55.5,946.79,30.1,NA,NA,6.4,0.011,75,NA,45.50260416666667,86.25,0,86.25,44.95,470.25,27.320811440555822,64.80843960967782,0.5068033305430821,0.125,0.17708333333333331,7,3.5,8.5,6,4,35,0,0,0,1,14.6,1,0,0,0,37,8.409714285714285,3,0,0,0,38,4.5,1,2,1.8,1,14.6,14.709714285714286,1,77,0,10.92220997739815,9.49514901619824,16.765291638862898,30.32089552238806,23.488495024875622,17.94776119402985,3.3117118759827378,2.23026760427425,3.0089945068257666,0.9925413720767616,0.012987012987012988
argentina_3,argentina,mu2k0.5,2,0.5,8.62,0.03,a,300,33,60,912.75,416,18.5,7.4,6.54,0.011,53,NA,19.74659090909091,51.775,0,51.775,4.325000000000003,239.47500000000002,17.38680661152339,91.11699063772775,0.3767283044958025,0.125,0.375,7,2,16.5,5.5,4,23,0,0,0,1,3,1,0,0,0,1,0.2357142857142857,1,0,0,0,14,0.5764705882352941,1,1,1.2545454545454546,1,3,2.0667303284950345,1,16,0,11.458583970523561,11.268783019192623,18.56795304421911,29.28358208955224,23.15640547263682,17.865671641791046,3.3554838433085417,2.6094450877558892,3.3172895214821305,1.4515681889589147,0.0625
argentina_11,argentina,mu2.5k0.5,2.5,0.5,10.77,0.03,c,415,38,70.5,1467.83,65.7,NA,NA,6.57,11.72,59,NA,29.504166666666663,71.175,0,71.175,9.400000000000002,509.4,23.97347587271095,83.98756057783578,0.40528343902997,0.09375,0.26041666666666663,6,4,12.5,4.5,4,35,0,0,0,1,4.2,1,4,0.32941176470588235,1,93,2.3903846153846153,2,0,0,0,7,0.7,1,3,0.2,1,4.2,3.6197963800904978,1,107,0,10.499128802730302,10.471440489079892,18.408556518906792,29.104477611940297,22.943718905472636,17.111940298507463,3.055716591839416,2.40253787116834,3.1500612013323335,1.160286258945592,0.009345794392523364
argentina_6,argentina,mu3k0.5,3,0.5,12.92,0.03,c,210,28,52,504.96,105.7,NA,NA,6.79,51.73,43,NA,11.561458333333334,53.150000000000006,0,53.150000000000006,18.200000000000003,300.6,13.932713065311106,124.16445438882585,0.22980933959910782,0.041666666666666664,0.46875,6,2,22.5,2,4,22,2,4.4,1,1,12.4,1,0,0,0,34,0.5625,2,0,0,0,6,0.36338028169014086,1,1,1.1,1,16.8,2.025880281690141,3,41,0,10.119599373771528,10.012790561508464,14.95842247646198,26.597014925373134,22.481965174129353,18.291044776119403,2.6915113558299795,2.2510720869968437,2.7360517529707695,8.292691405231599,0.07317073170731707
